ISIN;Ticker;Name;Sektor;Industrie;Land;Datum;Währung;Schlusskurs;Dividende;Gesamteindruck;Marktkapitalisierung (in Milliarden USD);Zielpreis;Bear Market Factor;Bad News Factor;Performance dieses Jahr;Sensitivität;Gewinnrevisionen;Potenzial;MF Tech. Trend;4W Rel. Perf;Vergleichsindex;KGV;LF Wachstum;Eigenkapitalrendite;Operative Gewinnmarge;Eigenmittel;Burchwert zu Preis;Anzahl Sterne;Gesamteindruck Marktumfeld;Umsatz  (in Mio);Reingewinn (in Mio);Reingewinn %;Current Ratio;Langfristiges Eigenkapital;Umsatz zu Aktien;Cash flow zu Umsatz;Ausbezahlte Dividenden (in Mio)
GB00B10RZP78;ULVR;UNILEVER PLC;Produkte für den privaten Bedarf;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;4846;3.19;eher positive;151.88;5088.3;-66;145;27.53%;niedrig;positiv;fairer Preis;positiv;15.04%;STOXX600;17.1;11.90%;36%;18%;24%;17%;4;negativ;51839;5642;11%;0.76;33%;79.48%;13.53%;3795
IT0004810054;UNI;UNIPOL GRUPPO FINANZIARIO;Lebensversicherungen;Versicherungen;Italien;02.08.2024;EUR;9.22;5.55;neutral;7.4;10.23;-44;117;78.61%;mittel;negativ;leicht unterbewertet;negativ;2.18%;STOXX600;6;4.60%;14%;8%;10%;215%;2;neutral;13033;1101;8%;0.09;5%;16.62%;NULL;388
GB0006928617;UTG;UNITE GROUP;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Grossbritannien ;02.08.2024;GBp;964.5;3.91;eher positive;5.97;1029.67;4;162;-7.61%;mittel;positiv;fairer Preis;positiv;10.81%;STOXX600;18.9;11.70%;3%;55%;74%;89%;4;neutral;276;103;37%;NULL;16%;5.05%;39.41%;103
GB00B39J2M42;UU.;UNITED UTILITIES GROUP;Wasserversorger;Versorger;Grossbritannien ;02.08.2024;GBp;1059;4.93;neutral;8.98;1120.45;-45;173;-0.05%;mittel;negativ;leicht unterbewertet;positiv;13.01%;STOXX600;13.1;25.60%;6%;29%;13%;29%;3;positiv;1950;127;7%;1.6;60%;12.45%;29.02%;320
NL0015000IY2;UMG;UNIVERSAL MUSIC;Medien und Unterhaltung;Medien;Holland;02.08.2024;EUR;21.44;2.7;neutral;42.67;26.94;3;191;-16.93%;mittel;negativ;leicht unterbewertet;negativ;-20.49%;STOXX600;19.2;15.30%;43%;13%;22%;6%;1;neutral;11108;1259;11%;0.65;16%;84.32%;14.77%;929
FI0009005987;UPM;UPM-KYMMENE;Papierprodukte;Rohstoffe;Finnland;02.08.2024;EUR;28.91;5.39;neutral;17.39;33.15;38;189;-15.12%;mittel;negativ;leicht unterbewertet;negativ;-7.91%;STOXX600;10.3;16.90%;3%;6%;60%;61%;1;negativ;10460;388;4%;1.94;17%;56.62%;10.02%;799
FR0013176526;FR;VALEO SE;Automobilteile & Zubehör;Automobile & Zubehör;Frankreich;02.08.2024;EUR;9.64;6.38;eher negative;2.73;8.61;126;373;-30.71%;hoch;negativ;leicht unterbewertet;negativ;0.48%;STOXX600;3.1;29.20%;6%;4%;16%;105%;2;negativ;22044;221;1%;0.86;23%;101.32%;9.13%;92
FR0013506730;VK;VALLOUREC;Stahl;Rohstoffe;Frankreich;02.08.2024;EUR;13.84;4.72;eher positive;3.63;16.83;-59;275;-1.32%;niedrig;positiv;leicht unterbewertet;negativ;-3.33%;STOXX600;5.2;12.50%;23%;17%;38%;65%;2;negativ;5114;496;10%;2;24%;89.51%;13.68%;0
FI4000074984;VALMT;VALMET;Industriemaschinen;Industrie;Finnland;02.08.2024;EUR;24.46;5.84;neutral;5.1;27.79;14;234;-6.32%;mittel;positiv;stark unterbewertet;negativ;-7.68%;STOXX600;9.7;8.30%;14%;10%;36%;53%;2;negativ;5532;357;6%;1.24;19%;78.31%;10.00%;239
NO0011202772;VAR;VAR ENERGI;Erschliessung & Produktion;Energie;Norwegen;02.08.2024;NOK;33.52;14.34;eher positive;7.86;39.76;-58;295;4.23%;niedrig;negativ;leicht unterbewertet;negativ;-7.92%;STOXX600;6.8;11.50%;66%;58%;5%;12%;1;negativ;72048;6450;9%;0.78;21%;36.78%;31.87%;11733
CH0311864901;VACN;VAT GROUP;Industriemaschinen;Industrie;Schweiz ;02.08.2024;CHF;388.4;1.82;neutral;15.17;485.12;45;195;-7.85%;mittel;positiv;leicht unterbewertet;negativ;-21.38%;STOXX600;27.7;30.50%;25%;24%;65%;6%;2;negativ;885;190;21%;1.36;1%;75.48%;26.28%;187
FR0000124141;VIE;VEOLIA ENVIRONNEMENT;Wasserversorger;Versorger;Frankreich;02.08.2024;EUR;28.31;5.24;neutral;21.85;30.86;16;193;-0.88%;mittel;negativ;stark unterbewertet;negativ;2.59%;STOXX600;11.7;11.10%;11%;5%;12%;43%;2;positiv;45351;937;2%;0.93;33%;62.50%;8.78%;1261
FR0013447729;VRLA;VERALLIA;Container & Verpackungen;Industrie;Frankreich;02.08.2024;EUR;26.12;6.68;eher negative;3.56;24.81;78;288;-25.07%;hoch;negativ;leicht unterbewertet;negativ;-21.73%;STOXX600;7.6;8.70%;52%;19%;20%;22%;1;negativ;3904;470;12%;0.91;36%;87.52%;20.41%;164
AT0000746409;VER;VERBUND;Strom Alternativ;Versorger;Oesterreich;02.08.2024;EUR;75.4;3.12;neutral;28.1;68.33;-33;244;-10.29%;mittel;negativ;tark überbewertet;negativ;2.23%;STOXX600;20.5;2.30%;23%;19%;50%;70%;1;positiv;10450;2266;22%;1.14;9%;52.69%;26.83%;1251
DK0061539921;VWS;VESTAS WINDSYSTEMS;Equipment Alternativenergie;Energie;Dänemark;02.08.2024;DKK;166.5;1.06;eher negative;24.71;148.24;82;244;-22.31%;hoch;positiv;leicht unterbewertet;negativ;6.46%;STOXX600;14.1;90.00%;3%;2%;13%;10%;3;negativ;114611;574;1%;1.03;14%;68.29%;5.64%;0
ES0183746314;VID;VIDRALA;Container & Verpackungen;Industrie;Spanien;02.08.2024;EUR;91.3;1.88;neutral;3.25;87.88;36;217;-2.67%;mittel;negativ;fairer Preis;negativ;-6.97%;STOXX600;11.5;7.70%;19%;20%;49%;40%;1;negativ;1559;233;15%;1.28;17%;62.83%;21.24%;38
FR0000125486;DG;VINCI;Anlagenbau;Baugewerbe & Werkstoffe;Frankreich;02.08.2024;EUR;102.25;4.89;neutral;63.05;111.67;12;142;-10.07%;mittel;negativ;stark unterbewertet;negativ;3.44%;STOXX600;10.6;8.70%;17%;11%;24%;43%;2;neutral;69619;4702;7%;0.9;23%;58.72%;12.21%;2294
GB00BD6GN030;CYBG;VIRGIN MONEY UK;Banken;Geldinstitute;Grossbritannien ;02.08.2024;GBp;215;4.26;neutral;3.56;242.06;26;191;30.74%;mittel;positiv;leicht unterbewertet;positiv;3.21%;STOXX600;5.8;5.80%;4%;22%;5%;221%;4;negativ;4044;192;5%;0.23;15%;4.41%;7.54%;148
ES0184262212;VIS;VISCOFAN;Container & Verpackungen;Industrie;Spanien;02.08.2024;EUR;60.8;3.79;neutral;3.02;65.26;-7;162;13.43%;mittel;negativ;stark unterbewertet;negativ;3.55%;STOXX600;15.4;12.30%;15%;14%;68%;39%;2;negativ;1226;141;12%;2.25;3%;87.09%;18.33%;90
GB0001859296;BVS;VISTRY GROUP;Eigenheimbau;Privat- & Haushaltswaren;Grossbritannien ;02.08.2024;GBp;1313;3.72;neutral;5.84;1453.96;3;211;43.11%;mittel;positiv;stark unterbewertet;positiv;12.89%;STOXX600;10.6;12.60%;7%;10%;54%;105%;4;negativ;3564;223;6%;2.57;9%;57.54%;8.35%;110
FR0000127771;VIV;VIVENDI SE;Medien und Unterhaltung;Medien;Frankreich;02.08.2024;EUR;9.4;2.91;neutral;9.9;10.57;-6;162;-2.87%;mittel;positiv;stark unterbewertet;negativ;-1.92%;STOXX600;9.6;11.20%;2%;8%;45%;173%;2;neutral;10510;405;4%;0.76;12%;27.48%;9.59%;256
GB00BH4HKS39;VOD;VODAFONE GROUP PLC.;Mobile Kommunikation;Telekommunikation;Grossbritannien ;02.08.2024;GBp;72.26;5.29;eher positive;24.46;79.95;-43;281;5.40%;mittel;negativ;leicht unterbewertet;positiv;7.34%;STOXX600;7.2;11.40%;2%;12%;42%;269%;3;positiv;31686;984;3%;0.83;33%;25.68%;31.47%;2097
AT0000937503;VOE;VOESTALPINE;Stahl;Rohstoffe;Oesterreich;02.08.2024;EUR;22.38;4.32;eher negative;4.46;21.26;73;157;-21.64%;hoch;positiv;leicht unterbewertet;negativ;-8.01%;STOXX600;5.4;52.80%;1%;6%;42%;161%;2;negativ;16684;101;1%;1.33;9%;97.99%;7.03%;257
DE0007664039;VOW3;VOLKSWAGEN AG;Fahrzeugbau;Automobile & Zubehör;Deutschland;02.08.2024;EUR;96.86;9.84;neutral;55.86;111.73;54;166;-13.36%;mittel;positiv;leicht unterbewertet;negativ;-5.85%;STOXX600;2.6;6.10%;10%;8%;25%;696%;2;negativ;322284;16013;5%;1.2;22%;51.09%;13.27%;11732
SE0000115446;VOLVB;VOLVO AB;Gewerbefahrzeuge;Industrie;Schweden ;02.08.2024;SEK;259.5;7.16;neutral;50.8;286.45;-21;186;-0.84%;mittel;positiv;leicht unterbewertet;negativ;-0.07%;STOXX600;8.6;7.40%;28%;15%;26%;43%;3;negativ;552764;49825;9%;1.24;20%;81.07%;12.17%;28468
SE0021628898;VOLCARB;VOLVO CAR B;Fahrzeugbau;Automobile & Zubehör;Schweden ;02.08.2024;SEK;28.13;0;neutral;7.95;35.74;17;473;-6.12%;mittel;negativ;leicht unterbewertet;negativ;-12.28%;STOXX600;3.3;14.90%;10%;7%;34%;130%;1;negativ;399343;13053;3%;0.97;7%;108.42%;6.42%;0
DE000A1ML7J1;VNA;VONOVIA;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Deutschland;02.08.2024;EUR;29.34;4.12;eher positive;25.93;32.75;30;242;2.80%;mittel;positiv;leicht unterbewertet;positiv;14.37%;STOXX600;13.5;9.10%;-24%;42%;28%;110%;4;neutral;4929;-6285;-128%;NULL;44%;5.36%;-118.08%;373
DE000WCH8881;WCH;WACKER CHEMIE;Spezialitäten-Chemie;Chemie;Deutschland;02.08.2024;EUR;86.78;3.85;eher negative;4.86;82.44;106;222;-24.08%;hoch;negativ;leicht unterbewertet;negativ;-13.80%;STOXX600;9;21.60%;7%;7%;49%;78%;1;positiv;6402;314;5%;2.21;12%;71.08%;11.44%;596
SE0017780133;WALLB;WALLENSTAM AB;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;55.2;1.17;neutral;3.37;48.61;43;246;0.91%;mittel;positiv;leicht überbewertet;positiv;12.96%;STOXX600;27.9;18.00%;-1%;55%;45%;95%;3;neutral;3341;-450;-13%;NULL;7%;4.92%;-10.30%;396
BE0974349814;WDP;WAREHOUSES DE PAUW NV;Immobilien Investments;Finanzdienstleistungen;Belgien;02.08.2024;EUR;25.48;4.75;eher positive;6.1;28.77;52;172;-10.60%;mittel;positiv;leicht unterbewertet;negativ;2.63%;STOXX600;15.7;10.40%;1%;77%;63%;71%;3;neutral;404;22;5%;NULL;32%;5.71%;9.84%;127
FI0009003727;WRT1V;WARTSILA;Industriemaschinen;Industrie;Finnland;02.08.2024;EUR;17.5;2.53;neutral;11.96;19.87;-26;180;33.37%;mittel;negativ;stark unterbewertet;negativ;-1.29%;STOXX600;16.5;21.10%;12%;9%;33%;29%;1;negativ;6015;257;4%;1.23;11%;88.42%;7.48%;156
GB0009465807;WEIR;WEIR GROUP;Industriemaschinen;Industrie;Grossbritannien ;02.08.2024;GBp;1909;2.22;neutral;6.51;2094.54;6;135;1.19%;mittel;negativ;stark unterbewertet;negativ;0.05%;STOXX600;12.9;11.80%;13%;17%;43%;35%;1;negativ;2636;228;9%;2.03;29%;67.72%;12.79%;96
FR0000121204;MF;WENDEL;Dienstleister für Unternehmen;Industrie;Frankreich;02.08.2024;EUR;85.95;5.03;neutral;4.16;93.46;35;168;6.57%;mittel;negativ;leicht unterbewertet;positiv;6.17%;STOXX600;17.6;4.70%;5%;13%;18%;77%;3;negativ;7128;142;2%;2.11;39%;47.35%;10.32%;139
FR0013326246;URW;WFD UNIBAIL RODAMCO NV;Immobilien Investments;Finanzdienstleistungen;Frankreich;02.08.2024;EUR;67.32;5.52;neutral;10.41;78.04;19;141;0.60%;mittel;negativ;stark unterbewertet;negativ;-7.90%;STOXX600;6.9;3.70%;-11%;72%;29%;165%;1;neutral;3061;-1629;-53%;NULL;52%;5.71%;-51.61%;0
GB00B1KJJ408;WTB;WHITBREAD;Restaurants & Bars;Reisen & Freizeit;Grossbritannien ;02.08.2024;GBp;2807;3.76;neutral;6.6;3092.22;8;204;-23.22%;mittel;negativ;stark unterbewertet;negativ;-1.64%;STOXX600;10.8;10.00%;9%;25%;37%;58%;1;negativ;2960;312;11%;0.96;52%;31.09%;23.50%;165
AT0000831706;WIE;WIENERBERGER;Baustoffe & Einbauten;Baugewerbe & Werkstoffe;Oesterreich;02.08.2024;EUR;29.04;3.59;neutral;3.66;33.93;25;235;-3.90%;mittel;negativ;leicht unterbewertet;negativ;-3.28%;STOXX600;6.7;8.90%;13%;12%;47%;83%;1;neutral;4224;334;8%;1.69;23%;75.53%;14.68%;95
SE0018012635;WIHL;WIHLBORGS FASTIGHETER;Immobilienbesitz & Entwicklung;Finanzdienstleistungen;Schweden ;02.08.2024;SEK;108.8;3.01;eher positive;3.13;119.51;13;190;15.44%;mittel;positiv;fairer Preis;positiv;13.35%;STOXX600;16.4;11.60%;0%;69%;39%;77%;4;neutral;3900;-27;-1%;NULL;40%;6.80%;NULL;953
GB00BL9YR756;WISE;WISE PLC;Dienstleister für Unternehmen;Industrie;Grossbritannien ;02.08.2024;GBP;670;0;negative;12.71;593.34;75;233;-23.34%;hoch;negativ;leicht überbewertet;negativ;-2.27%;STOXX600;19.3;10.90%;36%;31%;6%;10%;0;negativ;1563;355;23%;NULL;0%;10.32%;23.86%;NULL
NL0000395903;WKL;WOLTERS KLUWER;Verlagswesen;Medien;Holland;02.08.2024;EUR;149.9;1.6;eher positive;38.92;164.63;-70;167;16.47%;niedrig;negativ;leicht überbewertet;positiv;-0.07%;STOXX600;24.8;17.50%;58%;24%;19%;6%;2;neutral;5584;1007;18%;0.73;34%;61.40%;26.00%;467
FR0011981968;WLN;WORLDLINE;Software;Technologie;Frankreich;02.08.2024;EUR;8.32;0;eher negative;2.73;7.29;264;371;-46.93%;hoch;negativ;leicht unterbewertet;negativ;-16.94%;STOXX600;3.5;8.40%;-10%;11%;39%;193%;1;negativ;4610;-817;-18%;1.05;14%;21.21%;-5.12%;0
JE00B8KF9B49;WPP;WPP;Medien-Agenturen;Medien;Grossbritannien ;02.08.2024;GBp;715;5.51;neutral;10.12;797.18;52;220;-5.05%;mittel;negativ;leicht unterbewertet;negativ;2.44%;STOXX600;6.9;5.80%;3%;8%;13%;42%;2;neutral;14845;110;1%;0.86;21%;55.21%;8.66%;423
NO0010208051;YAR;YARA INTERNATIONAL;Spezialitäten-Chemie;Chemie;Norwegen;02.08.2024;NOK;301.2;4.37;neutral;7.09;328.26;-4;194;-16.61%;mittel;negativ;leicht unterbewertet;negativ;1.90%;STOXX600;9.5;22.90%;1%;4%;47%;83%;2;positiv;163113;507;0%;1.67;22%;100.21%;6.91%;13942
DE000ZAL1111;ZAL;ZALANDO;Bekleidung;Einzel- & Grosshandel;Deutschland;02.08.2024;EUR;22.98;0;neutral;6.87;21.02;100;306;7.13%;hoch;positiv;leicht unterbewertet;negativ;3.92%;STOXX600;14.8;34.50%;3%;3%;29%;42%;3;neutral;10143;83;1%;1.49;21%;125.10%;3.97%;0
DK0060257814;ZEAL;ZEALAND PHARMA;Biotechnologie;Gesundheitswesen;Dänemark;02.08.2024;DKK;881;0;positive;9.36;1073.07;-130;356;136.07%;niedrig;positiv;stark unterbewertet;positiv;0.45%;STOXX600;1741.5;933.60%;-44%;-153%;50%;7%;4;positiv;343;-704;-205%;6.25;3%;10.72%;-197.98%;0
CH0011075394;ZURN;ZURICH INSURANCE GROUP;Universalversicherungen;Versicherungen;Schweiz ;02.08.2024;CHF;466.3;6.07;neutral;80.14;497.94;-25;120;6.07%;mittel;negativ;stark unterbewertet;negativ;0.35%;STOXX600;11.6;11.70%;19%;11%;7%;33%;1;neutral;58843;3910;7%;0.18;4%;20.60%;7.99%;3484
